Country,Start Date,End Date
Albania,13-03-2020,
Argentina,19-03-2020,26-04-2020
Armenia,24-03-2020,14-04-2020
Australia,23-03-2020,
Austria,16-03-2020,13-04-2020
Azerbaijan,31-03-2020,20-04-2020
Bangladesh,26-03-2020,25-04-2020
Belgium,18-03-2020,19-04-2020
Bolivia,22-03-2020,15-04-2020
Botswana,02-04-2020,30-04-2020
Chile,19-03-2020,
Colombia,25-03-2020,27-04-2020
Republic of the Congo,31-03-2020,20-04-2020
Costa Rica,23-03-2020,
Croatia,18-03-2020,19-04-2020
Cuba,23-03-2020,20-04-2020
Czech Republic,16-03-2020,12-04-2020
Denmark,11-03-2020,13-04-2020
Dominican Republic,19-03-2020,
Ecuador,16-03-2020,31-03-2020
El Salvador,12-03-2020,02-04-2020
Eritrea,02-04-2020,23-04-2020
France,17-03-2020,11-05-2020
Georgia,31-03-2020,21-04-2020
Greece,23-03-2020,27-04-2020
Honduras,20-03-2020,19-04-2020
Hungary,28-03-2020,10-04-2020
India,25-03-2020,03-05-2020
Iraq,22-03-2020,11-04-2020
Ireland,12-03-2020,05-05-2020
Italy,09-03-2020,03-05-2020
Jordan,21-03-2020,
Kuwait,14-03-2020,29-03-2020
Lebanon,15-03-2020,28-03-2020
Libya,22-03-2020,
Lithuania,16-03-2020,27-04-2020
Luxembourg,18-03-2020,
Malaysia,18-03-2020,28-04-2020
Morocco,19-03-2020,20-04-2020
Nepal,24-03-2020,15-04-2020
Netherlands,16-03-2020,28-04-2020
New Zealand,26-03-2020,
Northern Cyprus,30-03-2020,
Norway,12-03-2020,13-04-2020
Pakistan,01-04-2020,30-04-2020
Panama,25-03-2020,07-04-2020
Papua New Guinea,24-03-2020,07-04-2020
Paraguay,20-03-2020,12-04-2020
Peru,16-03-2020,26-04-2020
Poland,13-03-2020,11-04-2020
Portugal,19-03-2020,02-04-2020
Romania,25-03-2020,12-05-2020
Rwanda,21-03-2020,19-04-2020
Samoa,26-03-2020,08-04-2020
San Marino,14-03-2020,
Serbia,15-03-2020,
Singapore,07-04-2020,04-05-2020
South Africa,26-03-2020,30-04-2020
Spain,14-03-2020,25-04-2020
Switzerland,17-03-2020,
Thailand,25-03-2020,30-04-2020
Tunisia,22-03-2020,19-04-2020
Turkey,11-04-2020,13-04-2020
Ukraine,17-03-2020,24-04-2020
United Arab Emirates,26-03-2020,17-04-2020
United Kingdom,24-03-2020,
Venezuela,17-03-2020,
Zimbabwe,30-03-2020,19-04-2020
